,          Year,PMID,Current,"Andriolo, 2017","Westwood, 2015","Prkno, 2013"
,,,,PMID 28099689,PMID 26569153,PMID 24330744
Svoboda,   2007,17523274,Yes (mortality only),Yes (mortalty only),,Yes
Nobre,     2008,18096708,Yes (converted median days to mean days),Yes (mortalty),Yes,Yes
Schoeder,  2009,19034493,Yes,Yes,,Yes
Hochreiter,2009,19493352,Yes,Yes,No,Yes
Stolz,2009,19797133,No. Ventilator-acquired pneumonia only.,No,Yes,
Bouadma (PRORATA),2009,20097417,Yes,Yes (mortalty only),Yes,Yes
Jensen,    2011,21572328,Yes (converted median days to mean days),Yes (mortalty),No,"Yes, mortality only"
Qu,        2012,22485232,No. Pancreatitis only,No,Yes,
Layios,    2012,22809906,Yes (mortality only),Yes (mortalty only),Yes,
Annane,    2013,23418298,Yes (converted median days to mean days),Yes (mortalty only),Yes,Yes
Deliberato,2013,23711530,Yes (converted median days to mean days),Yes (mortalty only),Yes,NA
Dharaniyadewi,2013,DOI: 10.1186/cc12915,,Yes (mortalty only),,
Oliveira,  2013,23921272,Yes,Yes,No,NA
Liu,       2013,24225216,Yes,Yes,Yes,NA
Shehabi (ProGUARD),2014,25295709,Yes,Yes (mortalty only),NA,NA
de Jong,   2016,26947523,Yes,NA,NA,NA
Bloos,     2016,27428731,Yes,NA,NA,NA
